GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD01_VD39,Estimate; Total: - Finnish
HD02_VD39,Margin of Error; Total: - Finnish
HD01_VD40,Estimate; Total: - French (except Basque)
HD02_VD40,Margin of Error; Total: - French (except Basque)
HD01_VD41,Estimate; Total: - French Canadian
HD02_VD41,Margin of Error; Total: - French Canadian
HD01_VD42,Estimate; Total: - German
HD02_VD42,Margin of Error; Total: - German
HD01_VD43,Estimate; Total: - German Russian
HD02_VD43,Margin of Error; Total: - German Russian
HD01_VD44,Estimate; Total: - Greek
HD02_VD44,Margin of Error; Total: - Greek
HD01_VD45,Estimate; Total: - Guyanese
HD02_VD45,Margin of Error; Total: - Guyanese
HD01_VD46,Estimate; Total: - Hungarian
HD02_VD46,Margin of Error; Total: - Hungarian
HD01_VD47,Estimate; Total: - Icelander
HD02_VD47,Margin of Error; Total: - Icelander
HD01_VD48,Estimate; Total: - Iranian
HD02_VD48,Margin of Error; Total: - Iranian
HD01_VD49,Estimate; Total: - Irish
HD02_VD49,Margin of Error; Total: - Irish
HD01_VD50,Estimate; Total: - Israeli
HD02_VD50,Margin of Error; Total: - Israeli
HD01_VD51,Estimate; Total: - Italian
HD02_VD51,Margin of Error; Total: - Italian
HD01_VD52,Estimate; Total: - Latvian
HD02_VD52,Margin of Error; Total: - Latvian
HD01_VD53,Estimate; Total: - Lithuanian
HD02_VD53,Margin of Error; Total: - Lithuanian
HD01_VD54,Estimate; Total: - Luxemburger
HD02_VD54,Margin of Error; Total: - Luxemburger
HD01_VD55,Estimate; Total: - Macedonian
HD02_VD55,Margin of Error; Total: - Macedonian
HD01_VD56,Estimate; Total: - Maltese
HD02_VD56,Margin of Error; Total: - Maltese
HD01_VD57,Estimate; Total: - New Zealander
HD02_VD57,Margin of Error; Total: - New Zealander
HD01_VD58,Estimate; Total: - Northern European
HD02_VD58,Margin of Error; Total: - Northern European
HD01_VD59,Estimate; Total: - Norwegian
HD02_VD59,Margin of Error; Total: - Norwegian
HD01_VD60,Estimate; Total: - Pennsylvania German
HD02_VD60,Margin of Error; Total: - Pennsylvania German
HD01_VD61,Estimate; Total: - Polish
HD02_VD61,Margin of Error; Total: - Polish
HD01_VD62,Estimate; Total: - Portuguese
HD02_VD62,Margin of Error; Total: - Portuguese
HD01_VD63,Estimate; Total: - Romanian
HD02_VD63,Margin of Error; Total: - Romanian
HD01_VD64,Estimate; Total: - Russian
HD02_VD64,Margin of Error; Total: - Russian
HD01_VD65,Estimate; Total: - Scandinavian
HD02_VD65,Margin of Error; Total: - Scandinavian
HD01_VD66,Estimate; Total: - Scotch-Irish
HD02_VD66,Margin of Error; Total: - Scotch-Irish
HD01_VD67,Estimate; Total: - Scottish
HD02_VD67,Margin of Error; Total: - Scottish
HD01_VD68,Estimate; Total: - Serbian
HD02_VD68,Margin of Error; Total: - Serbian
HD01_VD69,Estimate; Total: - Slavic
HD02_VD69,Margin of Error; Total: - Slavic
HD01_VD70,Estimate; Total: - Slovak
HD02_VD70,Margin of Error; Total: - Slovak
HD01_VD71,Estimate; Total: - Slovene
HD02_VD71,Margin of Error; Total: - Slovene
HD01_VD72,Estimate; Total: - Soviet Union
HD02_VD72,Margin of Error; Total: - Soviet Union
HD01_VD73,Estimate; Total: - Subsaharan African:
HD02_VD73,Margin of Error; Total: - Subsaharan African:
HD01_VD74,Estimate; Total: - Subsaharan African: - Cape Verdean
HD02_VD74,Margin of Error; Total: - Subsaharan African: - Cape Verdean
HD01_VD75,Estimate; Total: - Subsaharan African: - Ethiopian
HD02_VD75,Margin of Error; Total: - Subsaharan African: - Ethiopian
HD01_VD76,Estimate; Total: - Subsaharan African: - Ghanaian
HD02_VD76,Margin of Error; Total: - Subsaharan African: - Ghanaian
HD01_VD77,Estimate; Total: - Subsaharan African: - Kenyan
HD02_VD77,Margin of Error; Total: - Subsaharan African: - Kenyan
HD01_VD78,Estimate; Total: - Subsaharan African: - Liberian
HD02_VD78,Margin of Error; Total: - Subsaharan African: - Liberian
HD01_VD79,Estimate; Total: - Subsaharan African: - Nigerian
HD02_VD79,Margin of Error; Total: - Subsaharan African: - Nigerian
HD01_VD80,Estimate; Total: - Subsaharan African: - Senegalese
HD02_VD80,Margin of Error; Total: - Subsaharan African: - Senegalese
HD01_VD81,Estimate; Total: - Subsaharan African: - Sierra Leonean
HD02_VD81,Margin of Error; Total: - Subsaharan African: - Sierra Leonean
HD01_VD82,Estimate; Total: - Subsaharan African: - Somalian
HD02_VD82,Margin of Error; Total: - Subsaharan African: - Somalian
HD01_VD83,Estimate; Total: - Subsaharan African: - South African
HD02_VD83,Margin of Error; Total: - Subsaharan African: - South African
HD01_VD84,Estimate; Total: - Subsaharan African: - Sudanese
HD02_VD84,Margin of Error; Total: - Subsaharan African: - Sudanese
HD01_VD85,Estimate; Total: - Subsaharan African: - Ugandan
HD02_VD85,Margin of Error; Total: - Subsaharan African: - Ugandan
HD01_VD86,Estimate; Total: - Subsaharan African: - Zimbabwean
HD02_VD86,Margin of Error; Total: - Subsaharan African: - Zimbabwean
HD01_VD87,Estimate; Total: - Subsaharan African: - African
HD02_VD87,Margin of Error; Total: - Subsaharan African: - African
HD01_VD88,Estimate; Total: - Subsaharan African: - Other Subsaharan African
HD02_VD88,Margin of Error; Total: - Subsaharan African: - Other Subsaharan African
HD01_VD89,Estimate; Total: - Swedish
HD02_VD89,Margin of Error; Total: - Swedish
HD01_VD90,Estimate; Total: - Swiss
HD02_VD90,Margin of Error; Total: - Swiss
HD01_VD91,Estimate; Total: - Turkish
HD02_VD91,Margin of Error; Total: - Turkish
HD01_VD92,Estimate; Total: - Ukrainian
HD02_VD92,Margin of Error; Total: - Ukrainian
HD01_VD93,Estimate; Total: - Welsh
HD02_VD93,Margin of Error; Total: - Welsh
HD01_VD94,Estimate; Total: - West Indian (except Hispanic groups):
HD02_VD94,Margin of Error; Total: - West Indian (except Hispanic groups):
HD01_VD95,Estimate; Total: - West Indian (except Hispanic groups): - Bahamian
HD02_VD95,Margin of Error; Total: - West Indian (except Hispanic groups): - Bahamian
HD01_VD96,Estimate; Total: - West Indian (except Hispanic groups): - Barbadian
HD02_VD96,Margin of Error; Total: - West Indian (except Hispanic groups): - Barbadian
HD01_VD97,Estimate; Total: - West Indian (except Hispanic groups): - Belizean
HD02_VD97,Margin of Error; Total: - West Indian (except Hispanic groups): - Belizean
HD01_VD98,Estimate; Total: - West Indian (except Hispanic groups): - Bermudan
HD02_VD98,Margin of Error; Total: - West Indian (except Hispanic groups): - Bermudan
HD01_VD99,Estimate; Total: - West Indian (except Hispanic groups): - British West Indian
HD02_VD99,Margin of Error; Total: - West Indian (except Hispanic groups): - British West Indian
HD01_VD100,Estimate; Total: - West Indian (except Hispanic groups): - Dutch West Indian
HD02_VD100,Margin of Error; Total: - West Indian (except Hispanic groups): - Dutch West Indian
HD01_VD101,Estimate; Total: - West Indian (except Hispanic groups): - Haitian
HD02_VD101,Margin of Error; Total: - West Indian (except Hispanic groups): - Haitian
HD01_VD102,Estimate; Total: - West Indian (except Hispanic groups): - Jamaican
HD02_VD102,Margin of Error; Total: - West Indian (except Hispanic groups): - Jamaican
HD01_VD103,Estimate; Total: - West Indian (except Hispanic groups): - Trinidadian and Tobagonian
HD02_VD103,Margin of Error; Total: - West Indian (except Hispanic groups): - Trinidadian and Tobagonian
HD01_VD104,Estimate; Total: - West Indian (except Hispanic groups): - U.S. Virgin Islander
HD02_VD104,Margin of Error; Total: - West Indian (except Hispanic groups): - U.S. Virgin Islander
HD01_VD105,Estimate; Total: - West Indian (except Hispanic groups): - West Indian
HD02_VD105,Margin of Error; Total: - West Indian (except Hispanic groups): - West Indian
HD01_VD106,Estimate; Total: - West Indian (except Hispanic groups): - Other West Indian
HD02_VD106,Margin of Error; Total: - West Indian (except Hispanic groups): - Other West Indian
HD01_VD107,Estimate; Total: - Yugoslavian
HD02_VD107,Margin of Error; Total: - Yugoslavian
HD01_VD108,Estimate; Total: - Other groups
HD02_VD108,Margin of Error; Total: - Other groups
HD01_VD109,Estimate; Total: - Unclassified or not reported
HD02_VD109,Margin of Error; Total: - Unclassified or not reported
