state,state_long,state_fips,county_fips,county,fips_type
AR,Arkansas,5,133,Sevier County,H1
AR,Arkansas,5,135,Sharp County,H1
AR,Arkansas,5,137,Stone County,H1
AR,Arkansas,5,139,Union County,H1
AR,Arkansas,5,141,Van Buren County,H1
AR,Arkansas,5,143,Washington County,H1
AR,Arkansas,5,145,White County,H1
AR,Arkansas,5,147,Woodruff County,H1
AR,Arkansas,5,149,Yell County,H1
CA,California,6,1,Alameda County,H1
CA,California,6,3,Alpine County,H1
CA,California,6,5,Amador County,H1
CA,California,6,7,Butte County,H1
CA,California,6,9,Calaveras County,H1
CA,California,6,11,Colusa County,H1
CA,California,6,13,Contra Costa County,H1
CA,California,6,15,Del Norte County,H1
CA,California,6,17,El Dorado County,H1
CA,California,6,19,Fresno County,H1
CA,California,6,21,Glenn County,H1
CA,California,6,23,Humboldt County,H1
CA,California,6,25,Imperial County,H1
CA,California,6,27,Inyo County,H1
CA,California,6,29,Kern County,H1
CA,California,6,31,Kings County,H1
CA,California,6,33,Lake County,H1
CA,California,6,35,Lassen County,H1
CA,California,6,37,Los Angeles County,H1
CA,California,6,39,Madera County,H1
CA,California,6,41,Marin County,H1
CA,California,6,43,Mariposa County,H1
CA,California,6,45,Mendocino County,H1
CA,California,6,47,Merced County,H1
CA,California,6,49,Modoc County,H1
CA,California,6,51,Mono County,H1
CA,California,6,53,Monterey County,H1
CA,California,6,55,Napa County,H1
CA,California,6,57,Nevada County,H1
CA,California,6,59,Orange County,H1
CA,California,6,61,Placer County,H1
CA,California,6,63,Plumas County,H1
CA,California,6,65,Riverside County,H1
CA,California,6,67,Sacramento County,H1
CA,California,6,69,San Benito County,H1
CA,California,6,71,San Bernardino County,H1
CA,California,6,73,San Diego County,H1
CA,California,6,75,San Francisco County,H6
CA,California,6,77,San Joaquin County,H1
CA,California,6,79,San Luis Obispo County,H1
CA,California,6,81,San Mateo County,H1
CA,California,6,83,Santa Barbara County,H1
CA,California,6,85,Santa Clara County,H1
CA,California,6,87,Santa Cruz County,H1
CA,California,6,89,Shasta County,H1
CA,California,6,91,Sierra County,H1
CA,California,6,93,Siskiyou County,H1
CA,California,6,95,Solano County,H1
CA,California,6,97,Sonoma County,H1
CA,California,6,99,Stanislaus County,H1
CA,California,6,101,Sutter County,H1
CA,California,6,103,Tehama County,H1
CA,California,6,105,Trinity County,H1
CA,California,6,107,Tulare County,H1
CA,California,6,109,Tuolumne County,H1
CA,California,6,111,Ventura County,H1
CA,California,6,113,Yolo County,H1
CA,California,6,115,Yuba County,H1
CO,Colorado,8,1,Adams County,H1
CO,Colorado,8,3,Alamosa County,H1
CO,Colorado,8,5,Arapahoe County,H1
CO,Colorado,8,7,Archuleta County,H1
CO,Colorado,8,9,Baca County,H1
CO,Colorado,8,11,Bent County,H1
CO,Colorado,8,13,Boulder County,H1
CO,Colorado,8,14,Broomfield County,H6
CO,Colorado,8,15,Chaffee County,H1
CO,Colorado,8,17,Cheyenne County,H1
CO,Colorado,8,19,Clear Creek County,H1
CO,Colorado,8,21,Conejos County,H1
CO,Colorado,8,23,Costilla County,H1
CO,Colorado,8,25,Crowley County,H1
CO,Colorado,8,27,Custer County,H1
CO,Colorado,8,29,Delta County,H1
CO,Colorado,8,31,Denver County,H6
CO,Colorado,8,33,Dolores County,H1
CO,Colorado,8,35,Douglas County,H1
CO,Colorado,8,37,Eagle County,H1
CO,Colorado,8,39,Elbert County,H1
CO,Colorado,8,41,El Paso County,H1
CO,Colorado,8,43,Fremont County,H1
CO,Colorado,8,45,Garfield County,H1
CO,Colorado,8,47,Gilpin County,H1
CO,Colorado,8,49,Grand County,H1
CO,Colorado,8,51,Gunnison County,H1
CO,Colorado,8,53,Hinsdale County,H1
CO,Colorado,8,55,Huerfano County,H1
CO,Colorado,8,57,Jackson County,H1
CO,Colorado,8,59,Jefferson County,H1
CO,Colorado,8,61,Kiowa County,H1
CO,Colorado,8,63,Kit Carson County,H1
CO,Colorado,8,65,Lake County,H1
CO,Colorado,8,67,La Plata County,H1
CO,Colorado,8,69,Larimer County,H1
CO,Colorado,8,71,Las Animas County,H1
CO,Colorado,8,73,Lincoln County,H1
CO,Colorado,8,75,Logan County,H1
CO,Colorado,8,77,Mesa County,H1
CO,Colorado,8,79,Mineral County,H1
CO,Colorado,8,81,Moffat County,H1
CO,Colorado,8,83,Montezuma County,H1
CO,Colorado,8,85,Montrose County,H1
CO,Colorado,8,87,Morgan County,H1
CO,Colorado,8,89,Otero County,H1
CO,Colorado,8,91,Ouray County,H1
CO,Colorado,8,93,Park County,H1
CO,Colorado,8,95,Phillips County,H1
CO,Colorado,8,97,Pitkin County,H1
CO,Colorado,8,99,Prowers County,H1
CO,Colorado,8,101,Pueblo County,H1
CO,Colorado,8,103,Rio Blanco County,H1
CO,Colorado,8,105,Rio Grande County,H1
CO,Colorado,8,107,Routt County,H1
CO,Colorado,8,109,Saguache County,H1
CO,Colorado,8,111,San Juan County,H1
CO,Colorado,8,113,San Miguel County,H1
CO,Colorado,8,115,Sedgwick County,H1
CO,Colorado,8,117,Summit County,H1
CO,Colorado,8,119,Teller County,H1
CO,Colorado,8,121,Washington County,H1
CO,Colorado,8,123,Weld County,H1
CO,Colorado,8,125,Yuma County,H1
CT,Connecticut,9,1,Fairfield County,H4
CT,Connecticut,9,3,Hartford County,H4
CT,Connecticut,9,5,Litchfield County,H4
CT,Connecticut,9,7,Middlesex County,H4
CT,Connecticut,9,9,New Haven County,H4
CT,Connecticut,9,11,New London County,H4
CT,Connecticut,9,13,Tolland County,H4
CT,Connecticut,9,15,Windham County,H4
DE,Delaware,10,1,Kent County,H1
DE,Delaware,10,3,New Castle County,H1
DE,Delaware,10,5,Sussex County,H1
DC,District of Columbia,11,1,District of Columbia,H6
FL,Florida,12,1,Alachua County,H1
FL,Florida,12,3,Baker County,H1
FL,Florida,12,5,Bay County,H1
FL,Florida,12,7,Bradford County,H1
FL,Florida,12,9,Brevard County,H1
FL,Florida,12,11,Broward County,H1
FL,Florida,12,13,Calhoun County,H1
FL,Florida,12,15,Charlotte County,H1
FL,Florida,12,17,Citrus County,H1
FL,Florida,12,19,Clay County,H1
FL,Florida,12,21,Collier County,H1
FL,Florida,12,23,Columbia County,H1
FL,Florida,12,27,DeSoto County,H1
FL,Florida,12,29,Dixie County,H1
FL,Florida,12,31,Duval County,H6
FL,Florida,12,33,Escambia County,H1
FL,Florida,12,35,Flagler County,H1
FL,Florida,12,37,Franklin County,H1
FL,Florida,12,39,Gadsden County,H1
FL,Florida,12,41,Gilchrist County,H1
FL,Florida,12,43,Glades County,H1
FL,Florida,12,45,Gulf County,H1
FL,Florida,12,47,Hamilton County,H1
FL,Florida,12,49,Hardee County,H1
FL,Florida,12,51,Hendry County,H1
FL,Florida,12,53,Hernando County,H1
FL,Florida,12,55,Highlands County,H1
FL,Florida,12,57,Hillsborough County,H1
FL,Florida,12,59,Holmes County,H1
FL,Florida,12,61,Indian River County,H1
FL,Florida,12,63,Jackson County,H1
FL,Florida,12,65,Jefferson County,H1
FL,Florida,12,67,Lafayette County,H1
FL,Florida,12,69,Lake County,H1
FL,Florida,12,71,Lee County,H1
FL,Florida,12,73,Leon County,H1
FL,Florida,12,75,Levy County,H1
FL,Florida,12,77,Liberty County,H1
FL,Florida,12,79,Madison County,H1
FL,Florida,12,81,Manatee County,H1
FL,Florida,12,83,Marion County,H1
FL,Florida,12,85,Martin County,H1
FL,Florida,12,86,Miami-Dade County,H1
FL,Florida,12,87,Monroe County,H1
FL,Florida,12,89,Nassau County,H1
FL,Florida,12,91,Okaloosa County,H1
FL,Florida,12,93,Okeechobee County,H1
FL,Florida,12,95,Orange County,H1
FL,Florida,12,97,Osceola County,H1
FL,Florida,12,99,Palm Beach County,H1
FL,Florida,12,101,Pasco County,H1
FL,Florida,12,103,Pinellas County,H1
FL,Florida,12,105,Polk County,H1
FL,Florida,12,107,Putnam County,H1
FL,Florida,12,109,St. Johns County,H1
FL,Florida,12,111,St. Lucie County,H1
FL,Florida,12,113,Santa Rosa County,H1
FL,Florida,12,115,Sarasota County,H1
FL,Florida,12,117,Seminole County,H1
FL,Florida,12,119,Sumter County,H1
FL,Florida,12,121,Suwannee County,H1
FL,Florida,12,123,Taylor County,H1
FL,Florida,12,125,Union County,H1
FL,Florida,12,127,Volusia County,H1
FL,Florida,12,129,Wakulla County,H1
FL,Florida,12,131,Walton County,H1
FL,Florida,12,133,Washington County,H1
GA,Georgia,13,1,Appling County,H1
GA,Georgia,13,3,Atkinson County,H1
GA,Georgia,13,5,Bacon County,H1
GA,Georgia,13,7,Baker County,H1
GA,Georgia,13,9,Baldwin County,H1
GA,Georgia,13,11,Banks County,H1
GA,Georgia,13,13,Barrow County,H1
GA,Georgia,13,15,Bartow County,H1
GA,Georgia,13,17,Ben Hill County,H1
GA,Georgia,13,19,Berrien County,H1
GA,Georgia,13,21,Bibb County,H1
GA,Georgia,13,23,Bleckley County,H1
GA,Georgia,13,25,Brantley County,H1
GA,Georgia,13,27,Brooks County,H1
GA,Georgia,13,29,Bryan County,H1
GA,Georgia,13,31,Bulloch County,H1
GA,Georgia,13,33,Burke County,H1
GA,Georgia,13,35,Butts County,H1
GA,Georgia,13,37,Calhoun County,H1
GA,Georgia,13,39,Camden County,H1
GA,Georgia,13,43,Candler County,H1
GA,Georgia,13,45,Carroll County,H1
GA,Georgia,13,47,Catoosa County,H1
GA,Georgia,13,49,Charlton County,H1
GA,Georgia,13,51,Chatham County,H1
GA,Georgia,13,53,Chattahoochee County,H1
GA,Georgia,13,55,Chattooga County,H1
GA,Georgia,13,57,Cherokee County,H1
GA,Georgia,13,59,Clarke County,H6
GA,Georgia,13,61,Clay County,H1
GA,Georgia,13,63,Clayton County,H1
GA,Georgia,13,65,Clinch County,H1
GA,Georgia,13,67,Cobb County,H1
GA,Georgia,13,69,Coffee County,H1
GA,Georgia,13,71,Colquitt County,H1
GA,Georgia,13,73,Columbia County,H1
GA,Georgia,13,75,Cook County,H1
GA,Georgia,13,77,Coweta County,H1
GA,Georgia,13,79,Crawford County,H1
GA,Georgia,13,81,Crisp County,H1
GA,Georgia,13,83,Dade County,H1
GA,Georgia,13,85,Dawson County,H1
GA,Georgia,13,87,Decatur County,H1
GA,Georgia,13,89,DeKalb County,H1
GA,Georgia,13,91,Dodge County,H1
GA,Georgia,13,93,Dooly County,H1
GA,Georgia,13,95,Dougherty County,H1
GA,Georgia,13,97,Douglas County,H1
GA,Georgia,13,99,Early County,H1
GA,Georgia,13,101,Echols County,H1
GA,Georgia,13,103,Effingham County,H1
GA,Georgia,13,105,Elbert County,H1
GA,Georgia,13,107,Emanuel County,H1
GA,Georgia,13,109,Evans County,H1
GA,Georgia,13,111,Fannin County,H1
GA,Georgia,13,113,Fayette County,H1
GA,Georgia,13,115,Floyd County,H1
GA,Georgia,13,117,Forsyth County,H1
GA,Georgia,13,119,Franklin County,H1
GA,Georgia,13,121,Fulton County,H1
GA,Georgia,13,123,Gilmer County,H1
GA,Georgia,13,125,Glascock County,H1
GA,Georgia,13,127,Glynn County,H1
GA,Georgia,13,129,Gordon County,H1
GA,Georgia,13,131,Grady County,H1
GA,Georgia,13,133,Greene County,H1
GA,Georgia,13,135,Gwinnett County,H1
GA,Georgia,13,137,Habersham County,H1
GA,Georgia,13,139,Hall County,H1
GA,Georgia,13,141,Hancock County,H1
GA,Georgia,13,143,Haralson County,H1
GA,Georgia,13,145,Harris County,H1
GA,Georgia,13,147,Hart County,H1
GA,Georgia,13,149,Heard County,H1
GA,Georgia,13,151,Henry County,H1
GA,Georgia,13,153,Houston County,H1
GA,Georgia,13,155,Irwin County,H1
GA,Georgia,13,157,Jackson County,H1
GA,Georgia,13,159,Jasper County,H1
GA,Georgia,13,161,Jeff Davis County,H1
GA,Georgia,13,163,Jefferson County,H1
GA,Georgia,13,165,Jenkins County,H1
GA,Georgia,13,167,Johnson County,H1
GA,Georgia,13,169,Jones County,H1
GA,Georgia,13,171,Lamar County,H1
GA,Georgia,13,173,Lanier County,H1
GA,Georgia,13,175,Laurens County,H1
GA,Georgia,13,177,Lee County,H1
GA,Georgia,13,179,Liberty County,H1
GA,Georgia,13,181,Lincoln County,H1
GA,Georgia,13,183,Long County,H1
GA,Georgia,13,185,Lowndes County,H1
GA,Georgia,13,187,Lumpkin County,H1
GA,Georgia,13,189,McDuffie County,H1
GA,Georgia,13,191,McIntosh County,H1
GA,Georgia,13,193,Macon County,H1
GA,Georgia,13,195,Madison County,H1
GA,Georgia,13,197,Marion County,H1
GA,Georgia,13,199,Meriwether County,H1
GA,Georgia,13,201,Miller County,H1
GA,Georgia,13,205,Mitchell County,H1
GA,Georgia,13,207,Monroe County,H1
GA,Georgia,13,209,Montgomery County,H1
GA,Georgia,13,211,Morgan County,H1
GA,Georgia,13,213,Murray County,H1
GA,Georgia,13,215,Muscogee County,H6
GA,Georgia,13,217,Newton County,H1
GA,Georgia,13,219,Oconee County,H1
GA,Georgia,13,221,Oglethorpe County,H1
GA,Georgia,13,223,Paulding County,H1
GA,Georgia,13,225,Peach County,H1
GA,Georgia,13,227,Pickens County,H1
GA,Georgia,13,229,Pierce County,H1
GA,Georgia,13,231,Pike County,H1
GA,Georgia,13,233,Polk County,H1
GA,Georgia,13,235,Pulaski County,H1
GA,Georgia,13,237,Putnam County,H1
GA,Georgia,13,239,Quitman County,H1
GA,Georgia,13,241,Rabun County,H1
GA,Georgia,13,243,Randolph County,H1
GA,Georgia,13,245,Richmond County,H6
GA,Georgia,13,247,Rockdale County,H1
GA,Georgia,13,249,Schley County,H1
GA,Georgia,13,251,Screven County,H1
GA,Georgia,13,253,Seminole County,H1
GA,Georgia,13,255,Spalding County,H1
GA,Georgia,13,257,Stephens County,H1
GA,Georgia,13,259,Stewart County,H1
GA,Georgia,13,261,Sumter County,H1
GA,Georgia,13,263,Talbot County,H1
GA,Georgia,13,265,Taliaferro County,H1
GA,Georgia,13,267,Tattnall County,H1
GA,Georgia,13,269,Taylor County,H1
GA,Georgia,13,271,Telfair County,H1
GA,Georgia,13,273,Terrell County,H1
GA,Georgia,13,275,Thomas County,H1
GA,Georgia,13,277,Tift County,H1
GA,Georgia,13,279,Toombs County,H1
GA,Georgia,13,281,Towns County,H1
GA,Georgia,13,283,Treutlen County,H1
GA,Georgia,13,285,Troup County,H1
GA,Georgia,13,287,Turner County,H1
GA,Georgia,13,289,Twiggs County,H1
GA,Georgia,13,291,Union County,H1
GA,Georgia,13,293,Upson County,H1
GA,Georgia,13,295,Walker County,H1
GA,Georgia,13,297,Walton County,H1
GA,Georgia,13,299,Ware County,H1
GA,Georgia,13,301,Warren County,H1
GA,Georgia,13,303,Washington County,H1
GA,Georgia,13,305,Wayne County,H1
GA,Georgia,13,307,Webster County,H1
GA,Georgia,13,309,Wheeler County,H1
GA,Georgia,13,311,White County,H1
GA,Georgia,13,313,Whitfield County,H1
GA,Georgia,13,315,Wilcox County,H1
GA,Georgia,13,317,Wilkes County,H1
GA,Georgia,13,319,Wilkinson County,H1
GA,Georgia,13,321,Worth County,H1
HI,Hawaii,15,1,Hawaii County,H1
HI,Hawaii,15,3,Honolulu County,H1
HI,Hawaii,15,5,Kalawao County,H4
HI,Hawaii,15,7,Kauai County,H1
HI,Hawaii,15,9,Maui County,H1
ID,Idaho,16,1,Ada County,H1
ID,Idaho,16,3,Adams County,H1
ID,Idaho,16,5,Bannock County,H1
ID,Idaho,16,7,Bear Lake County,H1
ID,Idaho,16,9,Benewah County,H1
ID,Idaho,16,11,Bingham County,H1
ID,Idaho,16,13,Blaine County,H1
ID,Idaho,16,15,Boise County,H1
ID,Idaho,16,17,Bonner County,H1
ID,Idaho,16,19,Bonneville County,H1
ID,Idaho,16,21,Boundary County,H1
ID,Idaho,16,23,Butte County,H1
ID,Idaho,16,25,Camas County,H1
ID,Idaho,16,27,Canyon County,H1
ID,Idaho,16,29,Caribou County,H1
ID,Idaho,16,31,Cassia County,H1
ID,Idaho,16,33,Clark County,H1
ID,Idaho,16,35,Clearwater County,H1
ID,Idaho,16,37,Custer County,H1
ID,Idaho,16,39,Elmore County,H1
ID,Idaho,16,41,Franklin County,H1
ID,Idaho,16,43,Fremont County,H1
ID,Idaho,16,45,Gem County,H1
ID,Idaho,16,47,Gooding County,H1
ID,Idaho,16,49,Idaho County,H1
ID,Idaho,16,51,Jefferson County,H1
ID,Idaho,16,53,Jerome County,H1
ID,Idaho,16,55,Kootenai County,H1
ID,Idaho,16,57,Latah County,H1
ID,Idaho,16,59,Lemhi County,H1
ID,Idaho,16,61,Lewis County,H1
ID,Idaho,16,63,Lincoln County,H1
ID,Idaho,16,65,Madison County,H1
ID,Idaho,16,67,Minidoka County,H1
ID,Idaho,16,69,Nez Perce County,H1
ID,Idaho,16,71,Oneida County,H1
ID,Idaho,16,73,Owyhee County,H1
ID,Idaho,16,75,Payette County,H1
ID,Idaho,16,77,Power County,H1
ID,Idaho,16,79,Shoshone County,H1
ID,Idaho,16,81,Teton County,H1
ID,Idaho,16,83,Twin Falls County,H1
ID,Idaho,16,85,Valley County,H1
ID,Idaho,16,87,Washington County,H1
IL,Illinois,17,1,Adams County,H1
IL,Illinois,17,3,Alexander County,H1
IL,Illinois,17,5,Bond County,H1
IL,Illinois,17,7,Boone County,H1
IL,Illinois,17,9,Brown County,H1
IL,Illinois,17,11,Bureau County,H1
IL,Illinois,17,13,Calhoun County,H1
IL,Illinois,17,15,Carroll County,H1
IL,Illinois,17,17,Cass County,H1
IL,Illinois,17,19,Champaign County,H1
IL,Illinois,17,21,Christian County,H1
IL,Illinois,17,23,Clark County,H1
IL,Illinois,17,25,Clay County,H1
IL,Illinois,17,27,Clinton County,H1
IL,Illinois,17,29,Coles County,H1
IL,Illinois,17,31,Cook County,H1
IL,Illinois,17,33,Crawford County,H1
IL,Illinois,17,35,Cumberland County,H1
IL,Illinois,17,37,DeKalb County,H1
IL,Illinois,17,39,De Witt County,H1
IL,Illinois,17,41,Douglas County,H1
IL,Illinois,17,43,DuPage County,H1
IL,Illinois,17,45,Edgar County,H1
IL,Illinois,17,47,Edwards County,H1
IL,Illinois,17,49,Effingham County,H1
IL,Illinois,17,51,Fayette County,H1
IL,Illinois,17,53,Ford County,H1
IL,Illinois,17,55,Franklin County,H1
IL,Illinois,17,57,Fulton County,H1
IL,Illinois,17,59,Gallatin County,H1
IL,Illinois,17,61,Greene County,H1
IL,Illinois,17,63,Grundy County,H1
IL,Illinois,17,65,Hamilton County,H1
IL,Illinois,17,67,Hancock County,H1
IL,Illinois,17,69,Hardin County,H1
IL,Illinois,17,71,Henderson County,H1
IL,Illinois,17,73,Henry County,H1
IL,Illinois,17,75,Iroquois County,H1
IL,Illinois,17,77,Jackson County,H1
IL,Illinois,17,79,Jasper County,H1
IL,Illinois,17,81,Jefferson County,H1
IL,Illinois,17,83,Jersey County,H1
IL,Illinois,17,85,Jo Daviess County,H1
IL,Illinois,17,87,Johnson County,H1
IL,Illinois,17,89,Kane County,H1
IL,Illinois,17,91,Kankakee County,H1
IL,Illinois,17,93,Kendall County,H1
IL,Illinois,17,95,Knox County,H1
IL,Illinois,17,97,Lake County,H1
IL,Illinois,17,99,LaSalle County,H1
IL,Illinois,17,101,Lawrence County,H1
IL,Illinois,17,103,Lee County,H1
IL,Illinois,17,105,Livingston County,H1
IL,Illinois,17,107,Logan County,H1
IL,Illinois,17,109,McDonough County,H1
IL,Illinois,17,111,McHenry County,H1
IL,Illinois,17,113,McLean County,H1
IL,Illinois,17,115,Macon County,H1
IL,Illinois,17,117,Macoupin County,H1
IL,Illinois,17,119,Madison County,H1
IL,Illinois,17,121,Marion County,H1
IL,Illinois,17,123,Marshall County,H1
IL,Illinois,17,125,Mason County,H1
IL,Illinois,17,127,Massac County,H1
IL,Illinois,17,129,Menard County,H1
IL,Illinois,17,131,Mercer County,H1
IL,Illinois,17,133,Monroe County,H1
IL,Illinois,17,135,Montgomery County,H1
IL,Illinois,17,137,Morgan County,H1
IL,Illinois,17,139,Moultrie County,H1
IL,Illinois,17,141,Ogle County,H1
IL,Illinois,17,143,Peoria County,H1
IL,Illinois,17,145,Perry County,H1
IL,Illinois,17,147,Piatt County,H1
IL,Illinois,17,149,Pike County,H1
